iter	Passed	Remaining
667	1303	648
668	1304	645
669	1306	643
670	1307	640
671	1313	641
672	1316	639
673	1318	637
674	1319	635
675	1321	633
676	1322	631
677	1323	628
678	1325	626
679	1326	624
680	1331	623
681	1333	621
682	1334	619
683	1336	617
684	1338	615
685	1339	613
686	1340	610
687	1341	608
688	1343	606
689	1344	603
690	1345	601
691	1350	601
692	1351	598
693	1352	596
694	1354	594
695	1355	592
696	1357	589
697	1358	587
698	1359	585
699	1360	583
700	1361	580
701	1363	578
702	1364	576
703	1368	575
704	1369	573
705	1370	570
706	1372	568
707	1373	566
708	1375	564
709	1376	562
710	1377	560
711	1379	557
712	1380	555
713	1381	553
714	1382	551
715	1386	550
716	1388	547
717	1389	545
718	1390	543
719	1391	541
720	1392	538
721	1393	536
722	1395	534
723	1396	532
724	1397	530
725	1398	527
726	1399	525
727	1403	524
728	1405	522
729	1406	520
730	1408	518
731	1409	516
732	1410	513
733	1412	511
734	1413	509
735	1415	507
736	1416	505
737	1417	503
738	1418	501
739	1419	498
740	1423	497
741	1424	495
742	1426	493
743	1428	491
744	1430	489
745	1431	487
746	1432	485
747	1433	482
748	1434	480
749	1435	478
750	1436	476
751	1438	474
752	1441	472
753	1443	470
754	1444	468
755	1446	466
756	1447	464
757	1448	462
758	1449	460
759	1451	458
760	1452	456
761	1453	453
762	1455	452
763	1456	450
764	1459	448
765	1461	446
766	1462	444
767	1464	442
768	1466	440
769	1468	438
770	1469	436
771	1470	434
772	1471	432
773	1472	430
774	1473	427
775	1474	425
776	1477	423
777	1482	423
778	1485	421
779	1488	419
780	1490	417
781	1491	415
782	1493	413
783	1497	412
784	1499	410
785	1501	408
786	1502	406
787	1503	404
788	1504	402
789	1505	400
790	1507	398
791	1508	396
792	1510	394
793	1511	392
794	1512	390
795	1517	388
796	1519	386
797	1521	385
798	1522	382
799	1523	380
800	1524	378
801	1526	376
802	1527	374
803	1528	372
804	1529	370
805	1530	368
806	1534	366
807	1536	365
808	1537	363
809	1540	361
810	1541	359
811	1542	357
812	1544	355
813	1547	353
814	1549	351
815	1550	349
816	1555	348
817	1556	346
818	1557	344
819	1560	342
820	1561	340
821	1563	338
822	1564	336
823	1566	334
824	1567	332
825	1568	330
826	1573	329
827	1574	327
828	1576	325
829	1577	323
830	1579	321
831	1580	319
832	1581	317
833	1583	315
834	1584	313
835	1586	311
836	1587	309
837	1592	307
838	1593	305
839	1595	303
840	1596	301
841	1598	299
842	1600	297
843	1601	295
844	1602	293
845	1603	291
846	1604	289
847	1606	287
848	1610	286
849	1612	284
850	1613	282
851	1614	280
852	1616	278
853	1617	276
854	1619	274
855	1620	272
856	1621	270
857	1622	268
858	1624	266
859	1629	265
860	1630	263
861	1633	261
862	1634	259
863	1635	257
864	1637	255
865	1639	253
866	1640	251
867	1641	249
868	1642	247
869	1644	245
870	1647	243
871	1648	241
872	1649	239
873	1652	238
874	1653	236
875	1654	234
876	1655	232
877	1657	230
878	1658	228
879	1659	226
880	1661	224
881	1662	222
882	1664	220
883	1666	218
884	1670	217
885	1672	215
886	1673	213
887	1675	211
888	1676	209
889	1678	207
890	1679	205
891	1683	203
892	1685	201
893	1686	199
894	1688	198
895	1690	196
896	1691	194
897	1692	192
898	1693	190
899	1695	188
900	1697	186
901	1698	184
902	1703	182
903	1706	181
904	1707	179
905	1711	177
906	1712	175
907	1714	173
908	1715	171
909	1717	169
910	1721	168
911	1723	166
912	1725	164
913	1726	162
914	1728	160
915	1729	158
916	1731	156
917	1732	154
918	1733	152
919	1735	150
920	1739	149
921	1741	147
922	1743	145
923	1744	143
924	1746	141
925	1747	139
926	1749	137
927	1750	135
928	1751	133
929	1753	131
930	1754	130
931	1759	128
932	1760	126
933	1761	124
934	1763	122
935	1764	120
936	1765	118
937	1767	116
938	1769	114
939	1770	113
940	1771	111
941	1773	109
942	1776	107
943	1778	105
944	1779	103
945	1780	101
946	1783	99
947	1784	97
948	1785	95
949	1787	94
950	1789	92
951	1790	90
952	1792	88
953	1796	86
954	1797	84
955	1798	82
956	1800	80
957	1801	78
958	1803	77
959	1804	75
960	1805	73
961	1806	71
962	1808	69
963	1810	67
964	1811	65
965	1815	63
966	1816	61
967	1817	60
968	1819	58
969	1820	56
970	1822	54
971	1824	52
972	1825	50
973	1826	48
974	1828	46
975	1829	44
976	1833	43
977	1835	41
978	1836	39
979	1838	37
980	1840	35
981	1841	33
982	1843	31
983	1844	29
984	1845	28
985	1846	26
986	1850	24
987	1852	22
988	1854	20
989	1856	18
990	1857	16
991	1858	14
992	1860	13
993	1861	11
994	1862	9
995	1863	7
996	1865	5
997	1868	3
998	1870	1
999	1871	0
